"","X36963L","X99.972608055168","X99.972608055168","X100.027391944832"
"1",36963,99.972608055168,99.972608055168,100.027391944832
"2",36964,99.7899521082958,99.7899521082958,100.210147985154
"3",36965,99.742513733516,99.742513733516,100.257786113607
"4",36966,99.5819158277906,99.9031116392415,100.096358554988
"5",36969,99.5922858946885,99.9135151542009,100.085934916059
"6",36970,99.6495168507995,99.9709307055091,100.028420283304
"7",36971,99.619385219134,99.9407018859777,100.058666486309
"8",36972,99.6839169014478,100.005441711566,99.9938502453312
"9",36973,99.6562056492366,99.9776410782855,100.021647656286
"10",36976,99.609583827587,99.9308688805991,100.068440441419
"11",36977,99.6182087545264,99.9222161344479,100.077105099523
"12",36978,99.6653197826871,99.8749613363839,100.124433147031
"13",36979,99.569361911609,99.9711210505628,100.02803324114
"14",36980,99.6263025568614,100.028291449468,99.9708302959094
"15",36983,99.6162970596897,100.038337318495,99.9607901977214
"16",36984,99.6166070850079,100.038025979706,99.9611012951693
"17",36985,99.6149876731905,100.039652242296,99.9594762831011
"18",36986,99.6338053299583,100.020754364747,99.9783590151007
"19",36987,99.540315724334,100.114607057102,99.8845461036664
"20",36990,99.511592156509,100.143496343671,99.855723203982
"21",36991,99.4249667318175,100.230671844664,99.7687982111951
"22",36992,99.4691522371219,100.186128275498,99.8131365188403
"23",36993,99.4881249426763,100.20523773677,99.7940982018641
"24",36994,99.3932578462549,100.3007886375,99.6989393440421
"25",36997,99.4404596153591,100.253155882837,99.7462862810157
"26",36998,99.3943967890009,100.206716599177,99.7924907724531
"27",36999,99.3387192571443,100.150584031991,99.8483913037057
"28",37000,99.4818578977963,100.294892500693,99.704518269008
"29",37001,99.3880631437756,100.389453810368,99.6105135834963
"30",37004,99.3964329742561,100.3979079716,99.6021250196547
"31",37005,99.3321483458451,100.332975639382,99.6665426793658
"32",37006,99.3601738430362,100.361283509229,99.6384228364104
"33",37007,99.3964169609026,100.397891796903,99.6020782230386
"34",37008,99.3893844578659,100.390788437441,99.6091252770369
"35",37011,99.3445481160531,100.345500344253,99.6540607478919
