"","X36963L","X100.027627494044","X99.9723725059556","X100.027627494044"
"1",36963,100.027627494044,99.9723725059556,100.027627494044
"2",36964,100.172074595591,99.8280051965928,100.172074595591
"3",36965,100.191142084226,99.8090032006552,100.191142084226
"4",36966,100.201777443681,99.7984084055086,100.201777443681
"5",36969,100.143890494038,99.8560623273177,100.143890494038
"6",36970,100.105433593068,99.8944086975372,100.105433593068
"7",36971,100.097165687433,99.9026591742092,100.097165687433
"8",36972,100.108574321146,99.8912727094913,100.108574321146
"9",36973,100.146062752363,99.8538656528877,100.146062752363
"10",36976,100.11690409304,99.8829392357185,100.11690409304
"11",36977,100.04150280383,99.8077141530343,100.192305382251
"12",36978,100.175072905006,99.9409721120208,100.058533937481
"13",36979,100.195228253543,99.9610803591883,100.038402036729
"14",36980,100.252550208363,100.01826835738,99.9811698026016
"15",36983,100.137687074097,100.132863066078,99.8666175991188
"16",36984,99.9182813092632,99.9134678708431,100.085429439655
"17",36985,99.9074679868666,99.9242806723214,100.07459802821
"18",36986,99.9168738350722,99.9148732412755,100.084019610973
"19",36987,99.8514205851721,99.9803251806325,100.018456867713
"20",36990,99.8891108960439,99.9425862129239,100.056210228758
"21",36991,99.8023945572017,100.029348975081,99.9693488266334
"22",36992,99.8140925305271,100.04107355004,99.9576312843728
"23",36993,99.7951814194327,100.022119434364,99.9765695907986
"24",36994,99.6905409189646,100.126997891286,99.8717388952854
"25",36997,99.6905409189646,100.126997891286,99.8717388952854
"26",36998,99.7935887288865,100.023498925871,99.9749740053709
"27",36999,99.849660845662,99.9672976269352,100.031148039078
"28",37000,100.040384111116,100.15824559091,99.8400781141578
"29",37001,100.125402271781,100.243363914787,99.7552301812221
"30",37004,100.545191359515,99.8230802571497,100.173467273152
"31",37005,100.143588677583,100.221798646443,99.7733493503413
"32",37006,100.076741430001,100.154899192612,99.8399494579886
"33",37007,100.106801194284,100.124815952305,99.8699380977457
"34",37008,100.104798357538,100.126819149473,99.8679399999189
"35",37011,100.121960535173,100.109653196546,99.885061570058
"36",37012,100.074109313057,100.061807856469,99.9327995712084
"37",37013,100.121561370271,100.109254080711,99.8854145187175
"38",37014,100.055784746922,100.17502261857,99.8197930362021
"39",37015,100.073901684334,100.193161146188,99.8017188294235
"40",37018,100.06433582977,100.183583891862,99.811258666599
"41",37019,100.026157482455,100.145360046879,99.8493404553576
"42",37020,100.054288256218,100.173524344477,99.8212594085849
"43",37021,100.044811047786,100.18301284703,99.8118042727999
"44",37022,100.066087850289,100.204319041285,99.790577024483
"45",37025,100.01686408589,100.253610803342,99.7414887873169
"46",37026,100.121478810825,100.358473158444,99.6371620969179
"47",37027,100.168595201042,100.40570107636,99.5902736223845
"48",37028,100.206412758078,100.443608150125,99.5526744043329
"49",37029,100.206385677133,100.443581005077,99.5527013086036
"50",37032,100.158911906794,100.395994861096,99.5998653894814
"51",37033,100.205162904178,100.349634384457,99.6458582325134
"52",37034,100.042945811379,100.512085354862,99.4845465698854
"53",37035,99.985595795823,100.569704306522,99.4275166589099
"54",37036,99.9578461035986,100.541792502632,99.4551114635811
"55",37039,99.9108142131165,100.589099149966,99.4083161184174
"56",37040,99.8530128139542,100.530905342648,99.465826807378
"57",37041,99.8246652902444,100.502365370318,99.4940644118756
"58",37042,99.8346394389389,100.512407232551,99.4841232957219
"59",37043,99.7893900576911,100.557963807509,99.4390327835669
"60",37046,99.8369177121034,100.510070097071,99.4863935699441
"61",37047,99.7972869596809,100.470172133519,99.5258851800952
"62",37048,99.853184645675,100.413897556276,99.5816308506196
"63",37049,99.9277563843157,100.338907069482,99.6559997891323
"64",37050,99.9561067236767,100.367374055728,99.6277265493877
"65",37053,100.060252237664,100.471948074277,99.5239231787988
"66",37054,100.031162249163,100.501157752933,99.494989114412
"67",37055,99.9836214250884,100.548921947136,99.4477031120555
"68",37056,99.9628721722697,100.528055379468,99.4683411476128
"69",37057,99.8961540270279,100.46096001442,99.5347292283816
"70",37060,99.95364204292,100.403146965238,99.5920092523368
"71",37061,99.9624543486336,100.394295029405,99.600789675083
"72",37062,99.895041378781,100.326590833582,99.6679587444642
"73",37063,99.8961417759365,100.325485682679,99.6690566401834
"74",37064,99.9053064381092,100.334689733679,99.6599128112333
"75",37067,99.8961047806062,100.325448528346,99.6690918670529
"76",37068,99.8952358087438,100.326321234965,99.6682248699205
"77",37069,99.9239736531438,100.297459375983,99.6968974078524
"78",37070,99.9604470219037,100.260849680754,99.7332878912413
"79",37071,100.000499139003,100.301022163086,99.6933267921836
"80",37074,99.9622390248895,100.262647069095,99.7314693823931
"81",37075,100.010471076032,100.311024067932,99.6833486782287
"82",37076,100.020131113448,100.301335000024,99.6929771188078
"83",37077,100.010863157314,100.310629012765,99.6837394770602
"84",37078,100.011798563453,100.309690802903,99.6846718235957
"85",37081,99.9919273460539,100.329621208133,99.6648656025941
"86",37082,100.038969297714,100.376822030402,99.6179775195822
"87",37083,100.106944772204,100.308616988375,99.6856669343887
"88",37084,100.230085410778,100.185228274649,99.8082893629415
"89",37085,100.249603589769,100.204737718442,99.788853321871
"90",37088,100.277428306098,100.232549982052,99.761156488796
"91",37089,100.295947694089,100.251061081846,99.7427324466693
"92",37090,100.285768425781,100.240886369185,99.7528555678789
"93",37091,100.276639608747,100.250011100693,99.7437752608582
"94",37092,100.285095998289,100.258465244637,99.7353638080877
"95",37095,100.218389525718,100.325154003274,99.6690229999746
"96",37096,100.21822016373,100.324984460861,99.6691914335724
"97",37097,100.237761034354,100.344546148731,99.6497576143343
